EXAME|UNIDADE|VALOR_REF
Eletroforese DE HEMOGLOBINA, sangue total - Hemoglobina A2 - Hemoglobina A2|%|1,6 a 3,5
Eletroforese DE HEMOGLOBINA, sangue total - Hemoglobina F - Hemoglobina F|%|0,2 a 2,0
CORTISOL LIVRE, urina de 24 horas - Cortisol Livre, Urina 24h - Cortisol Livre, Urina 24h|microg/24h|3,0 a 43,0
CORTISOL LIVRE, urina de 24 horas - Cortisol Livre - Cortisol Livre|microg/L|
CORTISOL LIVRE, urina de 24 horas - Cortisona Livre - Cortisona Livre||
CORTISOL LIVRE, urina de 24 horas - Cortisona Livre, Urina 24h - Cortisona Livre, Urina 24h|microg/24h|15 a 122
CORTISOL LIVRE, urina de 24 horas - Relação Cortisol/Cortisona - Relação Cortisol/Cortisona|microg/24h|
CORTISOL LIVRE, urina de 24 horas - Volume (mL) - Volume (mL)||
METANEFRINAS, urina - Normetanefrina, urina - Normetanefrina, urina|microg/24h|52 a 310
METANEFRINAS, urina - Metanefrina total, urina - Metanefrina total, urina|microg/24h|95 a 475
METANEFRINAS, urina - Metanefrina, urina - Metanefrina, urina|microg/24h|19 a 140
CATECOLAMINAS LIVRES - Adrenalina, urina - Adrenalina, urina|microg/24h|Até 20
CATECOLAMINAS LIVRES - Dopamina, urina - Dopamina, urina|microg/24h|65 a 400
CATECOLAMINAS LIVRES - Noradrenalina, urina - Noradrenalina, urina|microg/24h|15 a 80
FILAGRINA, AUTO-ANTICORPOS, soro - Filagrina, Auto-Anticorpos - Filagrina, Auto-Anticorpos||Não reagente
FILAGRINA, AUTO-ANTICORPOS, soro - Profilagrina, Auto-Anticorpos - Profilagrina, Auto-Anticorpos||
PROTEÍNA S TOTAL, plasma - Proteína S Total - Proteína S Total|%|67 a 142
PROTEÍNA S TOTAL, plasma - Proteína S Livre - Proteína S Livre|%|69 a 123
PROTEINA S LIVRE, plasma - Proteína S Livre - Proteína S Livre|%|69 a 123
TEMPO DE TROMBINA, plasma - Trombina, tempo - Trombina, tempo|segundos|15,8 a 24,9
LEISHMANIA, ANTICORPOS IgG, soro - Leishmania, IgG - Leishmania, IgG||Não reagente
HISTOPLASMA, ANTICORPOS TOTAIS, soro - Histoplasma - Histoplasma||Não reagente
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2855 a 6559
IGE ESPECIFICO, F300 - LEITE DE CABRA, soro - Rast - F300 - Leite de cabra - Rast - F300 - Leite de cabra|kU/L|inferior a 0,35
ENZIMA CONVERSORA DA ANGIOTENSINA, ECA, soro - Enzima conversora angiotensina, ECA - Enzima conversora angiotensina, ECA|U/L|16 a 85
PESQUISA RÁPIDA DO ANTÍGENO NS1, DENGUE - Dengue, antígeno NS1 - Dengue, antígeno NS1|ng/mL|Não reagente
SS-A/Ro e SS-B/La, AUTO-ANTICORPOS, soro - Ro/SS-A - La/SS-B - Triagem - Ro/SS-A - La/SS-B - Triagem||Não reagente
EXAME DE URINA POR SONDAGEM VESICAL - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 20.000/mL
EXAME DE URINA POR SONDAGEM VESICAL - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 10.000/mL
DIGOXINA, soro - Digoxina - Digoxina|ng/mL|0,8 a 1,5
CLOSTRIDIOIDES (CLOSTRIDIUM) DIFFICILE, PESQUISA DO DNA - Clostridium difficile toxigênico, DNA - Clostridium difficile toxigênico, DNA||Negativa
CLOSTRIDIOIDES (CLOSTRIDIUM) DIFFICILE, PESQUISA DO DNA - Clostridium difficile, deleção no gene tcdC - Clostridium difficile, deleção no gene tcdC||
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2374 a 5891
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|nmol/L|8 a 87
URINA TIPO I - Observação - Observação||
PESQUISA DE HERPESVIRUS 1 E 2 POR PCR - HSV1, Detecção - HSV1, Detecção||Negativo
PESQUISA DE HERPESVIRUS 1 E 2 POR PCR - HSV2, Detecção - HSV2, Detecção||Negativo
METANEFRINAS, urina - Normetanefrina, urina - Normetanefrina, urina|microg/24h|44 a 450
METANEFRINAS, urina - Metanefrina total, urina - Metanefrina total, urina|microg/24h|90 a 690
METANEFRINAS, urina - Metanefrina, urina - Metanefrina, urina|microg/24h|26 a 230
ACIDO VANIL-MANDELICO (VMA) - Ácido Vanil-Mandélico - Ácido Vanil-Mandélico|mg/24h|2,0 a 7,0
METANEFRINAS, plasma - Metanefrina, plasma - Metanefrina, plasma|nmol/L|inferior a 0,5
METANEFRINAS, plasma - Normetanefrina, plasma - Normetanefrina, plasma|nmol/L|inferior a 0,9
PROPEPTIDEO AMINO TERMINAL DO PROCOLÁGENO TIPO I , soro - Propeptideo Amino Terminal - Propeptideo Amino Terminal|microg/L|13,9 a 85,5
PNEUMOCOCOS, ANTICORPOS IgG, soro - Pneumococos, IgG - 4 - Pneumococos, IgG - 4||
PNEUMOCOCOS, ANTICORPOS IgG, soro - Pneumococos, IgG-6B - Pneumococos, IgG-6B||
PNEUMOCOCOS, ANTICORPOS IgG, soro - Pneumococos, IgG-9V - Pneumococos, IgG-9V||
PNEUMOCOCOS, ANTICORPOS IgG, soro - Pneumococos, IgG-14 - Pneumococos, IgG-14||
PNEUMOCOCOS, ANTICORPOS IgG, soro - Pneumococos, IgG-18C - Pneumococos, IgG-18C||
PNEUMOCOCOS, ANTICORPOS IgG, soro - Pneumococos, IgG-19F - Pneumococos, IgG-19F||
PNEUMOCOCOS, ANTICORPOS IgG, soro - Pneumococos, IgG-23F - Pneumococos, IgG-23F||
ANTÍGENO DE ASPERGILLUS, GALACTOMANANA - Galactomanana, soro - Galactomanana, soro|ng/mL|inferior a 0,5
Scl-70, AUTO-ANTICORPOS, soro - Scl-70, Auto-Anticorpos - imunodifusão dupla - Scl-70, Auto-Anticorpos - imunodifusão dupla||Não reagente
JO-1, AUTO-ANTICORPOS, soro - Jo-1, Auto-Anticorpos-ensaio imunoenzimático - Jo-1, Auto-Anticorpos-ensaio imunoenzimático||Não reagente
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|82 - 331
TRIAGEM DE CANABINOIDES, urina - Canabinóides, urina - Canabinóides, urina||Negativo
ANTICORPOS CONTRA ANTIGENOS INALATORIOS, soro - Rast - Antígenos inalatórios - Rast - Antígenos inalatórios|kU/L|
HEMOGRAMA, sangue total - Bastonetes - Bastonetes|/mm3|Até 890
HEMOGRAMA, sangue total - Segmentados - Segmentados|/mm3|1.500 a 8.500
TRANSAMINASE GLUTAMICO-OXALACETICA (TGO) - AST (TGO) - AST (TGO)|U/L|Até 80
IgA, IMUNOGLOBULINA, soro - IgA, Imunoglobulina - IgA, Imunoglobulina|mg/dL|22 a 178
IgM, IMUNOGLOBULINA, soro - IgM, Imunoglobulina - IgM, Imunoglobulina|mg/dL|35 a 200
FATOR IX DA COAGULACAO, plasma - Dosagem de fator IX - Dosagem de fator IX|%|65 a 150
COMPONENTE C1q DO COMPLEMENTO - C1q - C1q|mg/dL|10 a 25
LINFOCITOS T E B, sangue - Linfócitos T - Linfócitos T|/mm3|1035 a 2333
LINFOCITOS T E B, sangue - Linfócitos B - Linfócitos B|/mm3|140 a 950
CADMIO, sangue - Cadmio - Cadmio||0,60 a 3,90
CITOMEGALOVIRUS, AVIDEZ DE ANTICORPOS IgG, soro - CMV, Avidez IgG - CMV, Avidez IgG|%|Baixa Avidez: inferior a 40
URINA TIPO I - PRIMEIRO JATO - Outros, urina 1J - Outros, urina 1J||
URINA TIPO I - PRIMEIRO JATO - Observação, urina 1J - Observação, urina 1J||
REACAO DE WIDAL, anticorpos anti Salmonella typhi e paratyphi A e B, soro - Widal, reação - Antígeno O - Widal, reação - Antígeno O||Não reagente
REACAO DE WIDAL, anticorpos anti Salmonella typhi e paratyphi A e B, soro - Widal, reação - Antígeno H - Widal, reação - Antígeno H||Não reagente
REACAO DE WIDAL, anticorpos anti Salmonella typhi e paratyphi A e B, soro - Widal, reação - Antígeno A - Widal, reação - Antígeno A||Não reagente
REACAO DE WIDAL, anticorpos anti Salmonella typhi e paratyphi A e B, soro - Widal, reação - Antígeno B - Widal, reação - Antígeno B||Não reagente
PESQUISA DE MICROSPORIDIA NAS FEZES - Microsporidia, pesquisa, fezes - Microsporidia, pesquisa, fezes||
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|50 - 117
FATOR VII DA COAGULACAO, plasma - Fator VII - Fator VII|%|50 a 129
INIBIDOR DE C1 - ESTERASE - Inibidor de C1 - Esterase - Inibidor de C1 - Esterase|mg/dL|14 a 30
INIBIDOR DE C1 - ESTERASE - Inibidor de C1 - Atividade Funcional - Inibidor de C1 - Atividade Funcional||
IGE ESPECIFICO, F416 - ÔMEGA 5 GLIADINA (rTri A 19), soro - Rast - F416 - Ômega 5 Gliadina(rTri A 19) - Rast - F416 - Ômega 5 Gliadina(rTri A 19)|kU/L|inferior a 0,35
IGE ESPECIFICO, C1 - PENICILLOYL G, soro - Rast - C1 - Penicilloyl G - Rast - C1 - Penicilloyl G|kU/L|inferior a 0,35
1,25-DIHIDROXIVITAMINA D, soro - Vitamina D, 1,25 Dihidroxi - Vitamina D, 1,25 Dihidroxi|pg/mL|19 a 83
ACETILCOLINA, ANTICORPOS BLOQUEADORES DO RECEPTOR, soro - Acetilcolina - Anticorpo bloqueador receptor - Acetilcolina - Anticorpo bloqueador receptor|%|inferior a 15
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|45 - 87
AMINOACIDOS, plasma - Ácido aspártico - Ácido aspártico|micromol/L|1 a 4
AMINOACIDOS, plasma - Ácido glutâmico - Ácido glutâmico|micromol/L|10 a 97
AMINOACIDOS, plasma - Hidroxiprolina - Hidroxiprolina|micromol/L|4 a 27
AMINOACIDOS, plasma - Serina - Serina|micromol/L|65 a 138
AMINOACIDOS, plasma - Asparagina - Asparagina|micromol/L|31 a 64
AMINOACIDOS, plasma - Glicina - Glicina|micromol/L|122 a 322
AMINOACIDOS, plasma - Glutamina - Glutamina|micromol/L|428 a 747
AMINOACIDOS, plasma - Histidina - Histidina|micromol/L|60 a 109
AMINOACIDOS, plasma - Citrulina - Citrulina|micromol/L|16 a 51
AMINOACIDOS, plasma - Arginina - Arginina|micromol/L|43 a 407
AMINOACIDOS, plasma - Treonina - Treonina|micromol/L|67 a 198
AMINOACIDOS, plasma - Alanina - Alanina|micromol/L|200 a 483
AMINOACIDOS, plasma - Prolina - Prolina|micromol/L|104 a 383
AMINOACIDOS, plasma - Tirosina - Tirosina|micromol/L|38 a 96
AMINOACIDOS, plasma - Valina - Valina|micromol/L|132 a 313
AMINOACIDOS, plasma - Metionina - Metionina|micromol/L|16 a 34
AMINOACIDOS, plasma - Isoleucina - Isoleucina|micromol/L|34 a 98
AMINOACIDOS, plasma - Leucina - Leucina|micromol/L|73 a 182
AMINOACIDOS, plasma - Fenilalanina - Fenilalanina|micromol/L|40 a 74
AMINOACIDOS, plasma - Triptofano - Triptofano|micromol/L|40 a 91
AMINOACIDOS, plasma - Ornitina - Ornitina|micromol/L|27 a 83
AMINOACIDOS, plasma - Lisina - Lisina|micromol/L|119 a 233
AMINOACIDOS, plasma - Taurina - Taurina|micromol/L|31 a 102
IGE ESPECIFICO, H2 - PO DOMESTICO HOLLISTER, SORO - Rast - H2 - Pó doméstico - Rast - H2 - Pó doméstico|kU/L|inferior a 0,35
BRUCELOSE, ANTICORPOS, soro - Brucelose, prova rápida, em lâmina - Brucelose, prova rápida, em lâmina||Não reagente
Sm, AUTO-ANTICORPOS, soro - Sm, Auto-Anticorpos - Sm, Auto-Anticorpos||Não reagente
ANTICORPOS ANTI-HISTONA, soro - Anti-Histona, anticorpos - Anti-Histona, anticorpos|Unidades|
NUCLEOSSOMO (CROMATINA), Auto-anticorpos, soro - Antinucleossomo - Antinucleossomo|Unidades|
IGE ESPECIFICO, F10 - GERGELIM, soro - Rast - F10 - Gergelim - Rast - F10 - Gergelim|kU/L|inferior a 0,35
IGE ESPECIFICO, F37 - MEXILHÃO, soro - Rast - F37 - Mexilhão - Rast - F37 - Mexilhão|kU/L|inferior a 0,35
MANGANES, plasma - Manganês, soro - Manganês, soro|microg/L|até 1,6
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2638 a 6306
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|mmol/L|17 a 77
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2700 a 6341
URINA TIPO I - JATO MEDIO - Leveduras, urina - Leveduras, urina||
IGE ESPECIFICO, G2 - GRAMA RASTEIRA, soro - Rast - G2 - Grama rasteira - Rast - G2 - Grama rasteira|kU/L|inferior a 0,35
IGE ESPECIFICO, EX2 - ANIMAIS, soro - Rast - EX2 - Animais - Rast - EX2 - Animais|kU/L|inferior a 0,35
IGE ESPECIFICO, WX5 - PÓLENS, soro - Rast - WX5 - Pólens - Rast - WX5 - Pólens|kU/L|inferior a 0,35
HEMOGRAMA, sangue total - Bastonetes - Bastonetes|/mm3|  Até 730
HEMOGRAMA, sangue total - Segmentados - Segmentados|/mm3| 1.800 a 8.000
LISTERIA, ANTICORPOS TOTAIS, soro - Listeria, anticorpos anti monocytogenes - Listeria, anticorpos anti monocytogenes||
SÓDIO, amostra isolada de urina - Sódio, urina isolada - Sódio, urina isolada|mEq/L|15 a 237
SÓDIO, amostra isolada de urina - Relação Sódio/Creatinina - Relação Sódio/Creatinina||26 a 297
URINA TIPO I - PRIMEIRO JATO - Eritrócitos quantitativo, urina 1J - Eritrócitos quantitativo, urina 1J||inferior a 12.000/mL
URINA TIPO I - PRIMEIRO JATO - Leucócitos quantitativo, urina 1J - Leucócitos quantitativo, urina 1J||inferior a 30.000/mL
SS-A/Ro e SS-B/La, AUTO-ANTICORPOS, soro - Ro/SS-A - Ro/SS-A||Não reagente
SS-A/Ro e SS-B/La, AUTO-ANTICORPOS, soro - La/SS-B - La/SS-B||Não reagente
Sm/RNP, AUTO-ANTICORPOS, soro - RNP, Auto-Anticorpos - RNP, Auto-Anticorpos||Não reagente
Sm/RNP, AUTO-ANTICORPOS, soro - Sm, Auto-Anticorpos - Sm, Auto-Anticorpos||Não reagente
IGE ESPECIFICO, F35 - BATATA, soro - Rast - F35 - Batata - Rast - F35 - Batata|kU/L|inferior a 0,35
IGE ESPECIFICO, F45 - FERMENTO DE PÃO, soro - Rast - F45 - Fermento de pão - Rast - F45 - Fermento de pão|kU/L|inferior a 0,35
VITAMINA B2, plasma - Vitamina B2 - Vitamina B2|nmol/L|3 a 50
IGE ESPECIFICO, F207 - MARISCO, soro - Rast - F207 - Marisco - Rast - F207 - Marisco|kU/L|inferior a 0,35
IGE ESPECIFICO, F351 - TROPOMIOSINA DO CAMARÃO , soro - Rast - F351 - Tropomiosina do camarão - Rast - F351 - Tropomiosina do camarão|kU/L|inferior a 0,35
IGE ESPECIFICO, D205 - TROPOMIOSINA DO ÁCARO (Der p 10), soro - Rast - D205 - Tropomiosina do Ácaro - Rast - D205 - Tropomiosina do Ácaro|kU/L|inferior a 0,35
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até 22
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|11,0 a 14,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3|5000 a 12000
HEMOGRAMA, sangue total - Linfócitos - Linfócitos|/mm3|1500 a 7000
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,10 a 5,10
HEMOGRAMA, sangue total - Hematócrito - Hematócrito|%|33,0 a 42,0
HEMOGRAMA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|24,0 a 30,0
HEMOGRAMA, sangue total - RDW - RDW|%|12,0 a 14,5
URINA TIPO I - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 20.000/mL
URINA TIPO I - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 10.000/mL
URINA TIPO I - Aspecto, urina - Aspecto, urina||límpido
PAINEL PARA ANTICORPOS ANTI-GANGLIOSÍDEOS, soro - Monosialo GM1,IgG - Monosialo GM1,IgG||Negativo
PAINEL PARA ANTICORPOS ANTI-GANGLIOSÍDEOS, soro - Monosialo GM1,IgM - Monosialo GM1,IgM||Negativo
PAINEL PARA ANTICORPOS ANTI-GANGLIOSÍDEOS, soro - Asialo GM1,IgG - Asialo GM1,IgG||Negativo
PAINEL PARA ANTICORPOS ANTI-GANGLIOSÍDEOS, soro - Asialo GM1,IgM - Asialo GM1,IgM||Negativo
PAINEL PARA ANTICORPOS ANTI-GANGLIOSÍDEOS, soro - Disialo GD1b,IgG - Disialo GD1b,IgG||Negativo
PAINEL PARA ANTICORPOS ANTI-GANGLIOSÍDEOS, soro - Disialo GD1b,IgM - Disialo GD1b,IgM||Negativo
FOSFATASE ALCALINA FRACAO OSSEA, soro - Fosfatase Alcalina Óssea - Fosfatase Alcalina Óssea|U/L|
CREATININA, soro - Creatinina - Creatinina|mg/dL|0,30 a 0,70
TACROLIMUS, sangue total - Tacrolimus - Elisa - Tacrolimus - Elisa|ng/mL|10 a 20
PESQUISA DO PAPILOMAVÍRUS HUMANO (HPV) POR TÉCNICA MOLECULAR - Observação - Observação||
CALCIO, soro - Cálcio - Cálcio|mg/dL|9,0 a 11,0
TRIIODOTIRONINA (T3), soro - Triiodotironina (T3) - Triiodotironina (T3)|ng/dL|105 a 269
TIROXINA (T4), soro - Tiroxina (T4) - Tiroxina (T4)|microg/dL|7,3 a 15,0
DESIDROGENASE LACTICA (DHL), soro - DHL - DHL|U/L|inferior a 850
PROTEINA TOTAL E FRACOES, plasma - Proteínas - Proteínas|g/dL|6,5 a 8,1
PROTEINA TOTAL E FRACOES, plasma - Albumina - Albumina|g/dL|3,5 a 5,2
PROTEINA TOTAL E FRACOES, plasma - Globulinas - Globulinas|g/dL|1,7 a 3,5
PROTEINA TOTAL E FRACOES, plasma - Relação Albumina/Globulina - Relação Albumina/Globulina|%|0,9 a 2,0
PROTEINA TOTAL, plasma - Proteínas - Proteínas|g/dL|6,5 a 8,1
URINA TIPO I - Outros - Urina I - Outros - Urina I||
ALBUMINURIA - Microalbuminúria - Microalbuminúria|microgr/minuto|inferior a 20
FEBRE MACULOSA (RICKETTSIA RICKETTSI), ANTICORPOS IgG E IgM, soro - Febre Maculosa, anticorpo IgG - Febre Maculosa, anticorpo IgG||Não reagente
FEBRE MACULOSA (RICKETTSIA RICKETTSI), ANTICORPOS IgG E IgM, soro - Febre Maculosa, anticorpo IgM - Febre Maculosa, anticorpo IgM||Não reagente
BORRELIA BURGDORFERI(DOENCA DE LYME), ANTICORPOS, soro - Borrelia burgdorferi (Doença de Lyme) - Borrelia burgdorferi (Doença de Lyme)||
MERCURIO, urina - Mercúrio, urina - Mercúrio, urina|mg/g creatinina|
CHUMBO, urina - Chumbo, urina - Chumbo, urina|mg/g creatinina|
FLUORETO, urina - Fluoreto, urina - Fluoreto, urina|mg/g creatinina|Até 0,5
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2678 a 6327
QUANTIFICACAO DE INIBIDOR DE FATOR VIII, plasma - Fator VIII - Fator VIII|%|50 a 150
QUANTIFICACAO DE INIBIDOR DE FATOR VIII, plasma - Inibidor de Fator VIII - Inibidor de Fator VIII||Indetectável
QUANTIFICACAO DE INIBIDOR DE FATOR IX, plasma - Dosagem de fator IX - Dosagem de fator IX|%|65 a 150
QUANTIFICACAO DE INIBIDOR DE FATOR IX, plasma - Inibidor de Fator IX - Inibidor de Fator IX||Indetectável
UREIA, urina - Período de coleta (horas) - Período de coleta (horas)||
UREIA, urina - Volume (mL) - Volume (mL)||
UREIA, urina - Excreção no volume enviado - Excreção no volume enviado||
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), plasma - Gama-GT - Gama-GT|U/L|até 24
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|500 a 2400
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|300 a 1600
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+|/mm3|0,9 a 2,9
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD3+ - Linfócitos T CD3+|/mm3|900 a 4500
CITOMEGALOVÍRUS, DETECÇÃO QUANTITATIVA POR MÉTODO MOLECULAR - CMV, Quantificação - CMV, Quantificação|UI/mL|Indetectável
DOSAGEM DE GORDURAS NAS FEZES - Gordura, dosagem, fezes - Gordura, dosagem, fezes||
DOSAGEM DE GORDURAS NAS FEZES - Peso das fezes - Peso das fezes||
POTASSIO, soro - Potássio - Potássio|mEq/L|3,5 a 6,3
TRANSAMINASE GLUTAMICO-PIRUVICA (TGP) - ALT (TGP) - ALT (TGP)|U/L|Até 45
IgA, IMUNOGLOBULINA, soro - IgA, Imunoglobulina - IgA, Imunoglobulina|mg/dL|17 a 94
IgE, IMUNOGLOBULINA, soro - IgE, Imunoglobulina - IgE, Imunoglobulina|kU/L|inferior a 15
ELASTASE PANCREÁTICA, QUANTIFICAÇÃO NAS FEZES - Elastase Pancreática, fezes - Elastase Pancreática, fezes|mcg/g de fezes|Maior que 200
IGE ESPECIFICO, F233 - OVOMUCÓIDE, soro - Rast - F233 - Ovomucóide - Rast - F233 - Ovomucóide|kU/L|inferior a 0,35
HEMOGRAMA, sangue total - VCM - VCM|fL|74 a 89
ANTICORPOS NEUTRALIZANTES CONTRA O VIRUS COXSACKIE B - Observação - Observação||
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Quimiolumin.-Índice - Covid 19, Anticorpos IgG, Quimiolumin.-Índice||
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Quimioluminescência - Covid 19, Anticorpos IgG, Quimioluminescência||
COVID19, ANTICORPOS IgM, soro - Covid 19, Anticorpos IgM, Quimiolumin.-Índice - Covid 19, Anticorpos IgM, Quimiolumin.-Índice||
COVID19, ANTICORPOS IgM, soro - Covid 19, Anticorpos IgM, Quimioluminescência - Covid 19, Anticorpos IgM, Quimioluminescência||
IGE ESPECIFICO, GX1 - GRAMÍNEAS, soro - Rast - GX1 - Gramíneas - Rast - GX1 - Gramíneas|kU/L|inferior a 0,35
PLAQUETAS, sangue total - Plaquetas - Plaquetas|/mm3|150.000 a 350.000
ALBUMINURIA, amostra isolada - Microalbuminúria isolada/Creatinina - Microalbuminúria isolada/Creatinina|mg/g creatinina|inferior a 30
METANEFRINAS, AMOSTRA ISOLADA, URINA - Normetanefrina, urina - Normetanefrina, urina||105 a 375
METANEFRINAS, AMOSTRA ISOLADA, URINA - Metanefrina total, urina - Metanefrina total, urina||150 a 510
METANEFRINAS, AMOSTRA ISOLADA, URINA - Metanefrina, urina - Metanefrina, urina||30 a 165
ELETROFORESE DE PROTEINAS URINARIAS - Eletro - Observação - Eletro - Observação||
ATIVIDADE DO FATOR XI DA COAGULACAO, plasma - Fator XI - Fator XI|%|65 a 150
IGE ESPECIFICO, F89 - MOSTARDA, soro - Rast - F89 - mostarda - Rast - F89 - mostarda|kU/L|inferior a 0,35
ANTI-FOSFATIDILSERINA, AUTOANTICORPOS, IgG, IgM, IgA, soro - Anti-Fosfatidilserina - IgG - Anti-Fosfatidilserina - IgG|U/mL|
ANTI-FOSFATIDILSERINA, AUTOANTICORPOS, IgG, IgM, IgA, soro - Anti-Fosfatidilserina - IgM - Anti-Fosfatidilserina - IgM|U/mL|
ANTI-FOSFATIDILSERINA, AUTOANTICORPOS, IgG, IgM, IgA, soro - Anti-Fosfatidilserina - IgA - Anti-Fosfatidilserina - IgA|U/mL|
FOSFATASE ACIDA, soro - Fosfatase Ácida - Total - Fosfatase Ácida - Total|UI/L|Até 6,4
FOSFATASE ACIDA, soro - Fosfatase Ácida - Prostática - Fosfatase Ácida - Prostática||
SEDIMENTO URINARIO - PRIMEIRO JATO - Células Epiteliais, urina 1J - Células Epiteliais, urina 1J||
SEDIMENTO URINARIO - PRIMEIRO JATO - Eritrócitos quantitativo, urina 1J - Eritrócitos quantitativo, urina 1J|g/L|inferior a 10.000/mL
SEDIMENTO URINARIO - PRIMEIRO JATO - Leucócitos quantitativo, urina 1J - Leucócitos quantitativo, urina 1J|g/L|inferior a 20.000/mL
SEDIMENTO URINARIO - PRIMEIRO JATO - Dismorfismo, urina 1J - Dismorfismo, urina 1J||Ausente
IgE, IMUNOGLOBULINA, soro - IgE, Imunoglobulina - IgE, Imunoglobulina|kU/L|inferior a 90
NIQUEL, plasma - Níquel, soro - Níquel, soro|microg/L|inferior a 4,0
TROPONINA T ultrassensível, plasma - Troponina T ultrassensível - Troponina T ultrassensível||
TESTE DE ATIVIDADE DO FATOR II, plasma - Fator II - Fator II|%|79 a 131
FATOR X DA COAGULACAO, plasma - Fator X - Fator X|%|77 a 131
CREATINOQUINASE TOTAL (CK), soro - CK - CK|U/L|24 a 175
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|57 - 254
DESIDROGENASE LACTICA (DHL), soro - DHL - DHL|U/L|inferior a 436
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2580 a 6365
IgA, IMUNOGLOBULINA, soro - IgA, Imunoglobulina - IgA, Imunoglobulina|mg/dL|47 a 317
IgG, IMUNOGLOBULINA, soro - IgG, Imunoglobulina - IgG, Imunoglobulina|mg/dL|680 a 1531
IgA, IMUNOGLOBULINA, soro - IgA, Imunoglobulina - IgA, Imunoglobulina|mg/dL|45 a 285
IgM, IMUNOGLOBULINA, soro - IgM, Imunoglobulina - IgM, Imunoglobulina|mg/dL|35 a 242
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG1 - IgG1|mg/dL|290 a 850
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG2 - IgG2|mg/dL|45 a 260
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG3 - IgG3|mg/dL|15 a 113
SUBCLASSES DE IMUNOGLOBULINA G, soro - IgG4 - IgG4|mg/dL|Menor ou igual a 79
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), soro - Gama-GT - Gama-GT|U/L|até 24
FOSFORO INORGANICO, soro - Fósforo - Fósforo|mg/dL|4,5 a 6,7
MAGNESIO, soro - Magnésio - Magnésio|mg/dL|1,7 a 2,3
SATURAÇÃO DA TRANSFERRINA, soro - Ferro - Ferro|microg/dL|50 a 120
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|900 a 5500
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|400 a 2300
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+||0,9 a 3,7
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos T - Linfócitos T|/mm3|1400 a 8000
